Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Data Engineer,TRILLIUM HEALTH RESOURCES,North Carolina,$62K - $98K (Employer est.),"Pay Plan Title: IT Application/Report Developer
Working Title: Data Engineer
FLSA Status: Exempt
Posting Salary Range: $62,221 - $98,220
Office Location: Remote in NC

POSTING DETAILS:
Make an Impact
Trillium Health Resources is a local governmental agency (LME/MCO) in North Carolina that manages serious mental health, substance use, and intellectual/developmental disability services. Serving in 46 counties, we help individuals and their families strengthen well-being and build foundations for a healthy life.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-trillium-health-resources-JV_KO0,13_KE14,39.htm?jl=1009441293957"
Data Engineer,RIVA Solutions Inc.,,,"Title: Data Engineer
Location: Remote
Terms: Full-time
Clearance: Public Trust
Travel: 0-20%
Education: MS/MA degree
Certifications: Microsoft Certified: Azure Enterprise Data Analyst Associate or Microsoft Certified: Fabric Analytics Engineer Associate AND Microsoft Certified: Azure Data Engineer Associate
Experience: Minimum of 8+ years of relevant experience
RESULTS. INNOVATION. VALUES. ACCOUNTABILITY

Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-riva-solutions-inc-JV_KO0,13_KE14,32.htm?jl=1009389253242"
Scala Data Engineer,Index Analytics Llc,"Windsor Mill, MD",$97K - $145K (Glassdoor est.),"Index Analytics, LLC, is a rapidly growing Baltimore-based small business providing health related consulting services to the federal government. At the center of our company culture is a commitment to instilling a dynamic and employee-friendly place to work. We place a priority on promoting a supportive and collegial team environment and enhancing staffs experience through career development and educational opportunities.
Index Analytics is seeking a Scala Data Engineer to support Government clients in the Baltimore and Washington D.C. Metro Area. The Data Engineer will provide O&M support and contribute to building new implementations for thousands of users spread across the country.
Responsibilities
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/scala-data-engineer-index-analytics-llc-JV_IC1153655_KO0,19_KE20,39.htm?jl=1009379449005"
Senior Data Warehouse Engineer - Remote,"TrueCar, Inc.",United States,$141K - $185K (Employer est.),"TrueCar is a leading automotive digital marketplace and we are on a mission to make car buying and selling easy, transparent and efficient. We work to empower consumers with data, and foster connections with our network of Certified Dealers who share our belief that truth, transparency and fairness are the foundation to a great experience. We forge partnerships to power car buying programs for some of America’s most trusted brands. And we continually innovate to provide useful tools, research, market context and pricing transparency to help consumers feel empowered and confident all throughout their journey.
As consumers’ priorities and shopping habits shifted, so did we. We are building a modern day marketplace and invite you to come join the TrueCar Crew. You can have a real & direct impact on our journey as we continue to evolve and revolutionize the car buying and selling experience. We are seeking talented individuals who are excited by our mission to revolutionize & elevate the car buying & selling experience.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-warehouse-engineer-remote-truecar-inc-JV_KO0,37_KE38,49.htm?jl=1009385004411"
Senior Data Engineer (Remote - US),Energy Solutions - USA,"Oakland, CA",$135K - $165K (Employer est.),"Interested in joining a growing company where you will work with talented colleagues, enhance a supportive and energetic culture, and be part of the climate solution? At Energy Solutions, we focus on the big impacts. And we believe that market-based programs can be a powerful force to deliver large-scale energy, carbon, and water-use savings. Since 1995, we've harnessed that power to offer proven, performance-based solutions for our utility, government, and institutional customers.
We are currently seeking a Senior Data Engineer to join our Information Systems team to design, develop, and maintain data platforms that support the data needs across Energy Solutions. In this role, the ideal candidate is a passionate and highly skilled professional with expertise in analytics tools and cloud technologies like AWS, Azure or similar technologies. They should be proficient in programming languages such as SQL, NoSQL, and Python, capable of processing large data sets to deliver high-quality, customer-facing data solutions and insights. This unique position is perfect for individuals with technical prowess in data field that want to have an impact on energy efficiency markets and greenhouse gas reductions through our work for major North American utilities and other clients around the country.



Show more",N/A,5d,"https://www.glassdoor.com/job-listing/senior-data-engineer-remote-us-energy-solutions-usa-JV_IC1147380_KO0,30_KE31,51.htm?jl=1009436014642"
"Principal Software Engineer, Data Platform",Nuna,"San Francisco, CA",$240K - $310K (Employer est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We are dedicated to tackling one of our nation's biggest problems with ingenuity, creativity, and a keen moral compass.

Nuna is committed to simple principles: a rigorous understanding of data, modern technology, and most importantly, compassion and care for our fellow human. We want to know what really works, what doesn't—and why.
YOUR TEAM
Nuna's Value Platform will make payers and providers successful in value-based care arrangements to improve outcomes and lower the cost of care. Our work runs the gamut from joining streams of messy real-world data to building queryable data warehouses to constructing visualizations and dashboards that provide actionable insight. We build systems that are auditable, as automated as possible, an accurate representation of the underlying data, and, most importantly, responsive to our end users' needs. We strive for a creative, collaborative engineering environment that implements best practices of peer review, readability, maintainability, and security of the code base and infrastructure.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/principal-software-engineer-data-platform-nuna-JV_IC1147401_KO0,41_KE42,46.htm?jl=1009371207003"
Data Architect/Principal Data Engineer,Scribd,United States,$158K - $282K (Employer est.),"At Scribd (pronounced “scribbed”), our mission is to spark human curiosity. Join our team as we create a world of stories and knowledge, democratize the exchange of ideas and information, and empower collective expertise through our three products: Everand, Scribd, and Slideshare.

We support a culture where our employees can be real and be bold; where we debate and commit as we embrace plot twists; and where every employee is empowered to take action as we prioritize the customer.

Our flexible work benefit - Scribd Flex - enables employees, in partnership with their manager, to choose the daily work-style that best suits their individual needs. As an organization, we prioritize collaboration and intentional in-person moments to build culture and connection. For this reason, occasional in-person attendance is required for all Scribd employees, regardless of their location.



















Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-architect-principal-data-engineer-scribd-JV_KO0,38_KE39,45.htm?jl=1009373314930"
